,Species,Weight,Length1,Height,Width,log_width,log_height,log_length,log_weight
19,Bream,649.9999999999999,31.0,14.4738,5.7276,1.7452965948177142,2.672340118468131,3.4339872044851463,6.476972362889683
20,Bream,0.006548000533047114,31.3,15.1285,5.5695,1.7173052833031073,2.7165803821055854,3.4436180975461075,-5.028595538067156
21,Bream,685.0000000000002,31.4,15.9936,5.3704,1.6809023936424048,2.7721886422184414,3.4468078929142076,6.529418838262226
22,Bream,862.7949693333508,31.5,15.5227,5.2801,1.6639450369327615,2.7423034686963734,3.449987545831587,6.760177083869063
23,Bream,679.9999999999998,31.8,15.4686,6.1306,1.8132926244404743,2.738812162752251,3.459466289786131,6.522092798170152
24,Bream,699.9999999999998,31.9,16.2405,5.589,1.720800380287561,2.787508122436926,3.462606009790799,6.551080335043404
25,Bream,0.005139310460411129,31.8,16.36,6.0532,1.8005870578307341,2.794839331174601,3.459466289786131,-5.27083636018519
26,Bream,1650.7184087343949,32.0,16.3618,6.09,1.8066480817218056,2.794949349572233,3.4657359027997265,7.408965871368851
27,Bream,2778.8342793773427,32.7,16.517,5.8515,1.7666980386326838,2.8043901535389533,3.487375077903208,7.92978679477882
28,Bream,850.0000000000003,32.8,16.8896,6.1984,1.8242911942305398,2.826698047886813,3.490428515390098,6.745236349484363
29,Bream,3889.7264804268907,33.5,18.957,6.603,1.8875240912124343,2.942173256459428,3.5115454388310208,8.266094120625443
30,Bream,920.0000000000003,35.0,18.0369,6.3063,1.8415491337305705,2.892419659513465,3.5553480614894135,6.824373670043086
31,Bream,2198.153265360478,35.0,18.084,6.292,1.8392789851960314,2.895027569432359,3.5553480614894135,7.6953728619959465
32,Bream,253.5585807497487,36.2,18.7542,6.7497,1.9094980594523103,2.9314177273321658,3.5890591188317256,5.535594884104784
33,Bream,1731.4012934392108,37.4,18.6354,6.7473,1.9091424248630988,2.925062997686095,3.6216707044204863,7.45668635582957
34,Bream,1415.5195392857254,38.0,17.6235,6.3705,1.8516779594392985,2.8692332386936,3.6375861597263857,7.255251908261505
35,Roach,40.0,12.9,4.1472,2.268,0.8188983858655056,1.4224334077357637,2.5572273113676265,3.6888794541139363
36,Roach,69.00000000000001,16.5,5.2983,2.8217,1.0373395401962964,1.6673860143882981,2.803360380906535,4.23410650459726
37,Roach,26.958185862742074,17.5,5.5756,2.9044,1.0662268285239547,1.718399934873594,2.8622008809294686,3.2942869938223973
38,Roach,96.71541849363086,18.2,5.6166,3.1746,1.155181640156004,1.725726498623617,2.9014215940827497,4.571772836425616
39,Roach,119.99999999999997,18.6,6.216,3.5742,1.2737413748805597,1.8271266130653463,2.9231615807191558,4.787491742782046
41,Roach,241.1345084739664,19.1,6.1677,3.3957,1.2225099253243472,1.8193259969458604,2.9496883350525844,5.485354904244011
42,Roach,151.72463268561117,19.4,6.1146,3.2943,1.19219370228964,1.810679354080566,2.9652730660692823,5.022067250796999
43,Roach,75.58374254313964,20.4,5.8045,3.7544,1.3229284854980707,1.7586334787959534,3.0155349008501706,4.325241214334174
44,Roach,2.3833216272121525,20.5,6.6339,3.5478,1.266327693072702,1.8921928665493255,3.0204248861443626,0.8684951563665075
45,Roach,223.20660078958932,20.5,7.0334,3.8203,1.340328953566262,1.9506702304419745,3.0204248861443626,5.40809780349993
46,Roach,1029.166611092914,21.0,6.55,3.325,1.2014696741078175,1.8794650496471605,3.044522437723423,6.936504638269334
47,Roach,179.45200583401743,21.1,6.4,3.8,1.33500106673234,1.8562979903656263,3.0492730404820207,5.189907795207477
48,Roach,169.0,22.0,7.5344,3.8352,1.3442215846979828,2.019479200507153,3.091042453358316,5.1298987149230735
49,Roach,254.2534726051593,22.0,6.9153,3.6312,1.2895631721601188,1.9337363481236045,3.091042453358316,5.5383316930661115
50,Roach,199.99999999999991,22.1,7.3968,4.1272,1.417599210948303,2.001047474251824,3.095577608523707,5.298317366548036
51,Roach,63.197430969803364,23.6,7.0866,3.906,1.3625138324544872,1.9582056768637195,3.1612467120315646,4.146263651114638
52,Roach,289.99999999999994,24.0,8.8768,4.4968,1.5033660327057283,2.1834411316983204,3.1780538303479458,5.66988092298052
53,Roach,58.464436615493206,25.0,8.568,4.7736,1.563100737225735,2.1480343331454477,3.2188758248682006,4.0684186482761735
54,Roach,390.00000000000006,29.5,9.485,5.355,1.6780307038997122,2.2497116033869773,3.3843902633457743,5.966146739123692
55,Whitefish,183.41294734090937,23.6,8.3804,4.2476,1.4463541175475536,2.12589564605172,3.1612467120315646,5.211740153518735
56,Whitefish,222.7981514409269,24.1,8.1454,4.2485,1.446565979461459,2.097453350731522,3.1822118404966093,5.406266211074934
57,Whitefish,71.13317625321842,25.6,8.778,4.6816,1.5436399318436682,2.1722485912660425,3.242592351485517,4.264553841948067
58,Whitefish,474.7092224538524,28.5,10.744,6.562,1.88129543453891,2.3743474592209366,3.349904087274605,6.162702453331165
59,Whitefish,836.5618844580761,33.7,11.7612,6.5736,1.883061627634841,2.4648059780809977,3.517497837358316,6.729300497915314
60,Whitefish,999.9999999999998,37.3,12.354,6.525,1.8756409532087572,2.5139798972737073,3.6189933266497696,6.907755278982137
61,Parkki,11.370201250195388,13.5,6.8475,2.3265,0.844364992302566,1.9238836221550961,2.6026896854443837,2.430996007710935
62,Parkki,10.868637846537904,14.3,6.5772,2.3142,0.8390640554601001,1.8836091228579341,2.6602595372658615,2.3858813801747862
63,Parkki,38.90356671090374,16.3,7.4052,2.673,0.983201437156782,2.0021824561328843,2.791165107812717,3.6610859356475176
64,Parkki,110.92616634672994,17.5,8.3922,2.9181,1.0709327195613672,2.127302703031176,2.8622008809294686,4.7088648119424406
65,Parkki,96.07008967255629,18.4,8.8928,3.2928,1.1917382666575935,2.1852419605660476,2.91235066461494,4.565078025829729
66,Parkki,139.99999999999994,19.0,8.5376,3.2944,1.192224057291388,2.144479937859058,2.9444389791664403,4.941642422609304
67,Parkki,56.346182755553535,19.0,9.396,3.4104,1.2268295864688636,2.2402840667966664,2.9444389791664403,4.031514496497398
68,Parkki,112.39484624799894,19.8,9.7364,3.1571,1.1496538847156237,2.275871439475622,2.9856819377004897,4.72201808452223
69,Parkki,573.544330233203,21.2,10.3458,3.6636,1.2984462705466955,2.336580640252004,3.054001181677967,6.35183523128604
70,Parkki,351.71785735520115,23.0,11.088,4.144,1.421661504957182,2.405863442447547,3.1354942159291497,5.8628293125873245
71,Parkki,299.99999999999994,24.0,11.368,4.234,1.4431471727126735,2.4308023907947995,3.1780538303479458,5.703782474656201
72,Perch,5.9,7.5,2.112,1.408,0.3421702577358506,0.7476353658440151,2.0149030205422647,1.7749523509116738
73,Perch,32.0,12.5,3.528,1.9992,0.6927471005386057,1.260731138144545,2.5257286443082556,3.4657359027997265
74,Perch,57.68063435488902,13.8,3.824,2.432,0.8887139641039206,1.341296995189155,2.624668592163159,4.054921490747165
75,Perch,30.89433551225119,15.0,4.5924,2.6316,0.9675920262297059,1.5244027632375197,2.70805020110221,3.4305728503435047
76,Perch,70.75382706260719,15.7,4.588,2.9415,1.0789196553223737,1.5234441992671244,2.7536607123542622,4.259206627818085
77,Perch,100.00000000000004,16.2,5.2224,3.3216,1.2004465945493779,1.652957066347596,2.785011242238338,4.605170185988092
78,Perch,78.0,16.8,5.1992,3.1234,1.1389221520716084,1.648504767598002,2.8213788864092133,4.356708826689592
79,Perch,79.99999999999997,17.2,5.6358,3.0502,1.1152071622399462,1.7291391072463875,2.8449093838194073,4.382026634673881
80,Perch,114.41366646464215,17.8,5.1376,3.0368,1.1108043294334717,1.6365860443531124,2.8791984572980396,4.739820533914184
81,Perch,12.515699624189036,18.2,5.082,2.772,1.0195690813276568,1.6257048848979723,2.9014215940827497,2.5269838261729323
82,Perch,110.00000000000004,19.0,5.6925,3.555,1.2683550632552043,1.7391495189557575,2.9444389791664403,4.700480365792417
83,Perch,115.00000000000001,19.0,5.9175,3.3075,1.1961926170069737,1.777914062406002,2.9444389791664403,4.74493212836325
84,Perch,113.34245777188637,19.0,5.6925,3.6675,1.2995102310349997,1.7391495189557575,2.9444389791664403,4.7304138354533
85,Perch,129.99999999999997,19.3,6.384,3.534,1.2624303738975047,1.8537948601475076,2.9601050959108397,4.867534450455582
86,Perch,215.37291451443897,20.0,6.11,3.4075,1.2259788845885506,1.809926773183504,2.995732273553991,5.372371011757401
87,Perch,119.99999999999997,20.0,5.64,3.525,1.259880436264232,1.7298840655099674,2.995732273553991,4.787491742782046
88,Perch,129.99999999999997,20.0,6.11,3.525,1.259880436264232,1.809926773183504,2.995732273553991,4.867534450455582
89,Perch,135.00000000000003,20.0,5.875,3.525,1.259880436264232,1.7707060600302227,2.995732273553991,4.90527477843843
90,Perch,260.16445357899545,20.0,5.5225,3.995,1.385043579218238,1.7088306563121352,2.995732273553991,5.561313944828374
91,Perch,129.99999999999997,20.5,5.856,3.624,1.287578388180733,1.7674667766590104,3.0204248861443626,4.867534450455582
92,Perch,473.7236472918126,20.5,6.792,3.624,1.287578388180733,1.9157454490090462,3.0204248861443626,6.160624129080205
93,Perch,51.11892831009905,20.7,5.9532,3.63,1.2892326482767593,1.7839288901128665,3.0301337002713233,3.934154845649587
94,Perch,596.8070575839017,21.0,5.2185,3.626,1.2881301123326592,1.6522100042779693,3.044522437723423,6.391593874529919
95,Perch,132.3801198030542,21.5,6.275,3.725,1.315066851831523,1.8365734850178477,3.068052935133617,4.885677479683978
96,Perch,558.9301755808825,22.0,7.293,3.723,1.3145297948905799,1.986914984002096,3.091042453358316,6.32602455583784
97,Perch,144.99999999999997,22.0,6.375,3.825,1.3415584672784993,1.8523840910444898,3.091042453358316,4.976733742420574
98,Perch,202.7046305704169,22.6,6.7334,4.1658,1.4269083340051456,1.907080216680134,3.1179499062782403,5.3117498976490065
99,Perch,180.0,23.0,6.4395,3.6835,1.3038633871407312,1.862450897350588,3.1354942159291497,5.19295685089021
100,Perch,239.9382658590127,23.5,6.561,4.239,1.4443273923705,1.8811430303627406,3.1570004211501135,5.480381664666369
101,Perch,134.44884807406362,25.0,7.168,4.144,1.421661504957182,1.9696266756726293,3.2188758248682006,4.901183814988053
102,Perch,78.82979422734515,25.2,8.323,5.1373,1.6365276496241934,2.1190227667639583,3.2268439945173775,4.367291024734085
103,Perch,152.3398264038187,25.4,7.1672,4.335,1.4667216102325051,1.9695150623012316,3.2347491740244907,5.026113725412804
104,Perch,264.99999999999994,25.4,7.0516,4.335,1.4667216102325051,1.9532545414294513,3.2347491740244907,5.579729825986222
105,Perch,146.5892490031894,25.4,7.2828,4.5662,1.5186813491632163,1.9855154036476728,3.2347491740244907,4.987634451178027
106,Perch,125.63517816760276,25.9,7.8204,4.2042,1.4360840256224061,2.056735704144198,3.254242968705492,4.833382295771002
107,Perch,530.3694102302418,26.9,7.5852,4.6354,1.5337224951863222,2.0261989802841165,3.292126286607793,6.273573764188594
108,Perch,234.59738415392633,27.8,7.6156,4.7716,1.5626816784256539,2.0301987751013844,3.3250360206965914,5.4578707859181925
109,Perch,192.89477858099713,30.5,10.03,6.018,1.7947549782078533,2.305580601973844,3.417726683613366,5.262144851535992
110,Perch,470.37510276008754,32.0,10.2565,6.3875,1.8543429555298228,2.3279116509400546,3.4657359027997265,6.153530467377755
111,Perch,3064.3434613769205,32.5,11.4884,7.7957,2.0535722996324437,2.4413378306412072,3.481240089335692,8.02758862032787
112,Perch,685.0000000000002,34.0,10.881,6.864,1.926290362185661,2.387018148968875,3.5263605246161616,6.529418838262226
113,Perch,1361.8319179574646,34.0,10.6091,6.7408,1.908178612242615,2.361712123391802,3.5263605246161616,7.216586070839601
114,Perch,699.9999999999998,34.5,10.835,6.2646,1.8349147395419825,2.3827816349883224,3.5409593240373143,6.551080335043404
115,Perch,689.9999999999998,34.6,10.5717,6.3666,1.8510655751254625,2.3581806194949175,3.543853682063679,6.536691597591305
116,Perch,900.0000000000001,36.5,11.1366,7.4934,2.0140226331149576,2.4102369814509705,3.597312260588446,6.802394763324311
117,Perch,946.5776411639381,36.5,11.1366,6.003,1.7922593442697061,2.4102369814509705,3.597312260588446,6.852852997040999
118,Perch,1963.8216989412692,36.6,12.4313,7.3514,1.9948907712769353,2.520217485733726,3.6000482404073204,7.582647700140114
119,Perch,850.0000000000003,36.9,11.9286,7.1064,1.960995786473354,2.4789388780082087,3.6082115510464816,6.745236349484363
120,Perch,557.6831321166474,37.0,11.73,7.225,1.9775472339984959,2.462149662665384,3.6109179126442243,6.323790937495479
121,Perch,2057.4659984716186,37.0,12.3808,7.4624,2.009877078293927,2.5161468855240567,3.6109179126442243,7.629230406762971
122,Perch,826.2943495253907,37.1,11.135,6.63,1.891604804197771,2.410093300709331,3.6136169696133895,6.716951065399104
123,Perch,1872.88059135134,39.0,12.8002,6.8684,1.9269311824575106,2.5494607958035025,3.6635616461296463,7.535232947796396
124,Perch,1000.9365553105997,39.8,11.9328,7.2772,1.9847461728405114,2.4792909110023644,3.6838669122903918,6.908691395998448
125,Perch,307.30506297207455,40.1,12.5125,7.4165,2.00370724778153,2.5267281446413388,3.6913763343125234,5.727840944666433
126,Perch,2491.823825098792,40.2,12.604,8.142,2.097035850080787,2.5340142238950283,3.6938669956249757,7.820770181219965
127,Perch,729.8870442213769,41.1,12.4888,7.5958,2.0275954629562256,2.52483224266032,3.716008121502189,6.592889788226586
128,Pike,433.8609792568083,30.0,5.568,3.3756,1.2165730863016744,1.7170359230321184,3.4011973816621555,6.0727241584925515
129,Pike,232.00631688106984,31.7,5.7078,4.158,1.4250341894358212,1.7418336604583293,3.456316680883235,5.446764599231282
130,Pike,126.92892087198139,32.7,5.9364,4.3844,1.4780527863594313,1.7811028890395262,3.487375077903208,4.843627251606925
131,Pike,299.99999999999994,34.8,6.2884,4.0198,1.3912321501495144,1.8387066663352218,3.5496173867804286,5.703782474656201
132,Pike,429.9999999999999,35.5,7.29,4.5765,1.520934513842697,1.986503546020567,3.56953269648137,6.063785208687608
133,Pike,755.2650904930136,36.0,6.396,3.977,1.3805277662255535,1.8556727949717078,3.58351893845611,6.627068800858977
134,Pike,456.00000000000017,40.0,7.28,4.3225,1.4638339385753085,1.9851308622085946,3.6888794541139363,6.1224928095143865
135,Pike,549.4744615030463,40.0,6.825,4.459,1.4949245256453396,1.9205923410710235,3.6888794541139363,6.3089622968820125
136,Pike,1687.4639654823384,40.1,7.786,5.1296,1.6350276834330968,2.052327249188264,3.6913763343125234,7.4309820687304455
137,Pike,499.99999999999983,42.0,6.96,4.896,1.588418545210025,1.9401794743463283,3.7376696182833684,6.214608098422191
138,Pike,566.9999999999998,43.2,7.792,4.87,1.5830939370944985,2.053097566340234,3.765840495250065,6.340359303727752
139,Pike,769.9999999999997,44.8,7.68,5.376,1.6819446032208485,2.038619547159581,3.8022081394209395,6.646390514847729
140,Pike,1214.9763887334686,48.3,8.9262,6.1712,1.8198933084718263,2.1889907724091158,3.877431560658527,7.102479922444645
141,Pike,520.9061540994909,52.0,10.6863,6.9849,1.9437506762141754,2.3689625472571745,3.9512437185814275,6.255569899040141
142,Pike,1493.7577361608576,56.0,9.6,6.144,1.815475995845371,2.2617630984737906,4.02535169073515,7.309050194686231
143,Pike,1539.2955478612355,56.0,9.6,6.144,1.815475995845371,2.2617630984737906,4.02535169073515,7.33908015429796
144,Pike,1649.9999999999998,59.0,10.812,7.48,2.012232791986386,2.3806566284142012,4.07753744390572,7.408530566894626
145,Smelt,5.169425194182973,9.3,1.7388,1.0476,0.04650183365141986,0.5531952201324999,2.2300144001592104,1.642761501330175
146,Smelt,4.185212904963268,10.0,1.972,1.16,0.14842000511827322,0.6790482561804436,2.302585092994046,1.4315575759958847
147,Smelt,6.999999999999999,10.1,1.7284,1.1484,0.1383696692647719,0.547196125075641,2.312535423847214,1.9459101490553132
148,Smelt,9.699999999999998,10.4,2.196,1.38,0.3220834991691132,0.7866375236472842,2.341805806147327,2.272125885509337
149,Smelt,0.1960778871108298,10.7,2.0832,1.2772,0.24467018185848982,0.7339051730321131,2.3702437414678603,-1.6292433154689006
150,Smelt,8.699999999999998,10.8,1.9782,1.2852,0.25091434825956627,0.6821873403236033,2.379546134130174,2.163323025660538
151,Smelt,3.904840657630879,11.3,2.2139,1.2838,0.24982442989554077,0.7947556661480424,2.424802725718295,1.3622169777551145
152,Smelt,7.027591315809454,11.3,2.2139,1.1659,0.1534933209571086,0.7947556661480424,2.424802725718295,1.9498440177816416
153,Smelt,2.1919680601524165,11.4,2.2044,1.1484,0.1383696692647719,0.7904553630269433,2.4336133554004498,0.7847997978812595
154,Smelt,14.077696767119104,11.5,2.0904,1.3936,0.3318903271161013,0.7373554352242656,2.4423470353692043,2.6445917554681757
155,Smelt,1.2135533274726011,11.7,2.43,1.269,0.23822918873225055,0.8878912573524571,2.4595888418037104,0.1935526903962148
156,Smelt,21.880737367553966,12.1,2.277,1.2558,0.22777281969787203,0.8228587870816026,2.4932054526026954,3.085606677513991
157,Smelt,19.699999999999996,13.2,2.8728,2.0672,0.7261950346061458,1.0552871639297359,2.580216829592325,2.9806186357439426
158,Smelt,3.6047979482416324,13.8,2.9322,1.8792,0.630846154362566,1.075752994522027,2.624668592163159,1.2822657215216997
