selling_price,year,name,fullname,brand,log_km_driven,seats,kmpl,engine_cc
335.0,2018,RENAULT KWID,RENAULT KWID RXT,RENAULT,10.308952660644293,5.0,25.17,799.0
524.0,2020,HYUNDAI XCENT,HYUNDAI XCENT 1.2 VTVT SX,HYUNDAI,10.373491181781864,5.0,20.14,1197.0
245.0,2015,MARUTI ALTO,MARUTI ALTO 800 LXI,MARUTI,10.596634733096073,5.0,22.74,796.0
520.0,2018,TATA ZEST,TATA ZEST REVOTRON 1.2 XT,TATA,11.002099841204238,5.0,17.57,1193.0
550.0,2014,NISSAN SUNNY,NISSAN SUNNY XL,NISSAN,10.51867319162636,5.0,16.95,1498.0
910.0,2018,FORD ECOSPORT,FORD ECOSPORT 1.5 PETROL TITANIUM PLUS BSIV,FORD,9.615805480084347,5.0,17.0,1497.0
300.0,2015,NISSAN MICRA,NISSAN MICRA ACTIVE XV S,NISSAN,11.289781913656018,5.0,19.49,1198.0
350.0,2016,MARUTI WAGON,MARUTI WAGON R LXI OPTIONAL,MARUTI,11.84939770159144,5.0,20.51,998.0
270.0,2016,RENAULT KWID,RENAULT KWID RXT,RENAULT,10.691944912900398,5.0,25.17,799.0
410.0,2017,MARUTI EECO,MARUTI EECO 5 SEATER AC BSIV,MARUTI,9.51044496442652,5.0,15.37,1196.0
165.0,2011,HYUNDAI SANTRO,HYUNDAI SANTRO XING GLS,HYUNDAI,11.225243392518447,5.0,17.92,1086.0
350.0,2015,MARUTI SWIFT,MARUTI SWIFT LXI OPTION,MARUTI,11.512925464970229,5.0,20.4,1197.0
610.0,2019,HYUNDAI ELITE,HYUNDAI ELITE I20 MAGNA PLUS BSIV,HYUNDAI,7.600902459542082,5.0,18.6,1197.0
525.0,2015,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI,MARUTI,9.903487552536127,5.0,20.85,1197.0
375.0,2014,MARUTI SWIFT,MARUTI SWIFT 1.2 DLX (ONLY DELHI),MARUTI,11.289781913656018,5.0,20.4,1197.0
300.0,2019,DATSUN GO,DATSUN GO D PETROL,DATSUN,10.596634733096073,5.0,19.02,1198.0
380.0,2015,TATA ZEST,TATA ZEST REVOTRON 1.2 XT,TATA,10.596634733096073,5.0,17.57,1193.0
220.0,2016,MARUTI OMNI,MARUTI OMNI E MPI STD BS IV,MARUTI,10.46310334047155,8.0,16.8,796.0
450.0,2017,HYUNDAI GRAND,HYUNDAI GRAND I10 SPORTZ,HYUNDAI,10.46310334047155,5.0,18.9,1197.0
450.0,2017,HYUNDAI GRAND,HYUNDAI GRAND I10 SPORTZ,HYUNDAI,10.46310334047155,5.0,18.9,1197.0
520.0,2016,MARUTI SWIFT,MARUTI SWIFT VXI DECA,MARUTI,9.903487552536127,5.0,20.4,1197.0
500.0,2014,HYUNDAI VERNA,HYUNDAI VERNA 1.6 SX VTVT (O),HYUNDAI,11.156250521031495,5.0,17.1,1591.0
525.0,2015,HYUNDAI I20,HYUNDAI I20 ACTIVE 1.2,HYUNDAI,10.819778284410283,5.0,17.19,1197.0
675.0,2019,MARUTI BALENO,MARUTI BALENO ZETA,MARUTI,9.711115659888671,5.0,21.01,1197.0
300.0,2010,HYUNDAI I20,HYUNDAI I20 1.2 ASTA,HYUNDAI,11.156250521031495,5.0,17.0,1197.0
81.0,2006,MARUTI 800,MARUTI 800 STD,MARUTI,11.289781913656018,4.0,16.1,796.0
725.0,2014,HONDA CITY,HONDA CITY I VTEC VX,HONDA,11.695247021764184,5.0,17.4,1497.0
230.0,2016,RENAULT KWID,RENAULT KWID RXL,RENAULT,10.596634733096073,5.0,25.17,799.0
410.0,2017,MARUTI WAGON,MARUTI WAGON R VXI BS IV,MARUTI,10.757902880692196,5.0,20.51,998.0
400.0,2017,TATA TIAGO,TATA TIAGO 1.2 REVOTRON XZ,TATA,10.165851817003619,5.0,23.84,1199.0
400.0,2014,MARUTI SWIFT,MARUTI SWIFT LXI OPTION,MARUTI,10.819778284410283,5.0,20.4,1197.0
351.0,2017,MARUTI CELERIO,MARUTI CELERIO LXI,MARUTI,10.491274217438248,5.0,23.1,998.0
65.0,2005,MARUTI WAGON,MARUTI WAGON R LXI,MARUTI,10.46310334047155,5.0,18.9,998.0
300.0,2016,RENAULT KWID,RENAULT KWID RXT,RENAULT,10.308952660644293,5.0,25.17,799.0
240.0,2016,MARUTI ALTO,MARUTI ALTO 800 VXI,MARUTI,10.819778284410283,5.0,22.74,796.0
150.0,2010,MARUTI ALTO,MARUTI ALTO K10 LXI,MARUTI,11.289781913656018,5.0,20.92,998.0
325.0,2018,TATA TIAGO,TATA TIAGO 1.2 REVOTRON XE,TATA,11.512925464970229,5.0,23.84,1199.0
130.0,2009,MARUTI 800,MARUTI 800 AC BSIII,MARUTI,10.596634733096073,4.0,16.1,796.0
410.0,2015,HYUNDAI XCENT,HYUNDAI XCENT 1.2 KAPPA S OPTION,HYUNDAI,11.440354772135393,5.0,19.1,1197.0
320.0,2014,MARUTI CELERIO,MARUTI CELERIO VXI,MARUTI,10.819778284410283,5.0,23.1,998.0
550.0,2016,FORD FIGO,FORD FIGO 1.2P TITANIUM PLUS MT,FORD,10.691944912900398,5.0,18.16,1196.0
385.0,2014,MARUTI CELERIO,MARUTI CELERIO ZXI,MARUTI,10.126631103850338,5.0,23.1,998.0
800.0,2016,HYUNDAI CRETA,HYUNDAI CRETA 1.6 VTVT S,HYUNDAI,10.126631103850338,5.0,15.29,1591.0
675.0,2019,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI 1.2,MARUTI,9.210340371976184,5.0,21.21,1197.0
350.0,2020,DATSUN REDIGO,DATSUN REDIGO 1.0 S,DATSUN,7.666690200080086,5.0,22.5,999.0
600.0,2015,HYUNDAI I20,HYUNDAI I20 MAGNA 1.2,HYUNDAI,10.46310334047155,5.0,18.6,1197.0
370.0,2016,NISSAN MICRA,NISSAN MICRA ACTIVE XL PETROL,NISSAN,10.46310334047155,5.0,19.49,1198.0
610.0,2014,MARUTI ERTIGA,MARUTI ERTIGA VXI,MARUTI,9.95227771670556,7.0,16.02,1373.0
230.0,2008,HYUNDAI I10,HYUNDAI I10 MAGNA 1.1L,HYUNDAI,10.819778284410283,5.0,19.81,1086.0
200.0,2011,MARUTI WAGON,MARUTI WAGON R VXI BSIII,MARUTI,11.289781913656018,5.0,18.9,998.0
760.0,2016,HYUNDAI VERNA,HYUNDAI VERNA 1.6 VTVT S OPTION,HYUNDAI,9.903487552536127,5.0,17.01,1591.0
500.0,2018,HYUNDAI XCENT,HYUNDAI XCENT 1.2 VTVT S,HYUNDAI,11.002099841204238,5.0,20.14,1197.0
425.0,2016,HONDA BRIO,HONDA BRIO 1.2 S MT,HONDA,9.998797732340453,5.0,18.5,1198.0
250.0,2014,MARUTI ALTO,MARUTI ALTO 800 LXI,MARUTI,10.126631103850338,5.0,22.74,796.0
268.0,2017,MARUTI ALTO,MARUTI ALTO 800 VXI,MARUTI,10.126631103850338,5.0,24.7,796.0
270.0,2016,MARUTI ALTO,MARUTI ALTO 800 VXI,MARUTI,10.819778284410283,5.0,22.74,796.0
450.0,2017,TATA TIAGO,TATA TIAGO 1.2 REVOTRON XZ,TATA,11.407564949312402,5.0,23.84,1199.0
235.0,2017,DATSUN REDIGO,DATSUN REDIGO S,DATSUN,10.126631103850338,5.0,22.7,799.0
165.0,2011,MARUTI ALTO,MARUTI ALTO K10 LXI,MARUTI,11.407564949312402,5.0,20.92,998.0
540.0,2016,HYUNDAI I20,HYUNDAI I20 ASTA OPTION 1.2,HYUNDAI,10.545341438708522,5.0,18.6,1197.0
180.0,2013,HYUNDAI EON,HYUNDAI EON ERA PLUS,HYUNDAI,11.002099841204238,5.0,21.1,814.0
450.0,2012,MARUTI SWIFT,MARUTI SWIFT DZIRE 1.2 VXI BSIV,MARUTI,10.308952660644293,5.0,17.5,1197.0
450.0,2014,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI,MARUTI,10.308952660644293,5.0,19.1,1197.0
200.0,2015,CHEVROLET BEAT,CHEVROLET BEAT LT,CHEVROLET,10.819778284410283,5.0,18.6,1199.0
425.0,2017,TATA TIAGO,TATA TIAGO 1.2 REVOTRON XZ,TATA,10.645424897265505,5.0,23.84,1199.0
400.0,2016,CHEVROLET SAIL,CHEVROLET SAIL 1.2 LS ABS,CHEVROLET,10.308952660644293,5.0,18.2,1199.0
900.0,2015,HONDA CITY,HONDA CITY I VTEC VX,HONDA,9.998797732340453,5.0,17.4,1497.0
210.0,2011,MARUTI ALTO,MARUTI ALTO K10 2010-2014 VXI,MARUTI,10.736396675471232,5.0,20.92,998.0
801.0,2018,HYUNDAI I20,HYUNDAI I20 1.2 ASTA OPTION,HYUNDAI,9.903487552536127,5.0,18.6,1197.0
220.0,2015,CHEVROLET SAIL,CHEVROLET SAIL 1.2 LS,CHEVROLET,11.289781913656018,5.0,18.2,1199.0
340.0,2015,TATA ZEST,TATA ZEST REVOTRON 1.2T XM,TATA,11.608235644774552,5.0,17.57,1193.0
236.0,2015,MARUTI ALTO,MARUTI ALTO 800 LXI,MARUTI,11.002099841204238,5.0,22.74,796.0
390.0,2015,MARUTI WAGON,MARUTI WAGON R VXI BS IV,MARUTI,10.596634733096073,5.0,20.51,998.0
570.0,2018,HYUNDAI I20,HYUNDAI I20 1.2 SPOTZ,HYUNDAI,10.126631103850338,5.0,18.6,1197.0
580.0,2018,HYUNDAI GRAND,HYUNDAI GRAND I10 1.2 KAPPA SPORTZ BSIV,HYUNDAI,10.373491181781864,5.0,18.9,1197.0
485.0,2016,HONDA JAZZ,HONDA JAZZ 1.2 VX I VTEC,HONDA,10.308952660644293,5.0,18.7,1199.0
550.0,2018,FORD FIGO,FORD FIGO ASPIRE 1.2 TI-VCT TREND,FORD,9.560997243589352,5.0,18.16,1196.0
300.0,2017,HYUNDAI EON,HYUNDAI EON SPORTZ,HYUNDAI,9.210340371976184,5.0,21.1,814.0
217.0,2018,DATSUN REDIGO,DATSUN REDIGO T OPTION,DATSUN,10.126631103850338,5.0,22.7,799.0
700.0,2018,FORD FREESTYLE,FORD FREESTYLE TITANIUM PETROL BSIV,FORD,9.857443614034722,5.0,19.0,1194.0
730.0,2020,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI 1.2,MARUTI,7.313220387090301,5.0,21.21,1197.0
400.0,2015,MARUTI WAGON,MARUTI WAGON R VXI OPTIONAL,MARUTI,10.596634733096073,5.0,20.51,998.0
200.0,2011,HYUNDAI I10,HYUNDAI I10 SPORTZ 1.1L,HYUNDAI,11.289781913656018,5.0,19.81,1086.0
350.0,2016,RENAULT KWID,RENAULT KWID 1.0 RXT OPTIONAL,RENAULT,10.126631103850338,5.0,23.01,999.0
200.0,2013,MARUTI ALTO,MARUTI ALTO 800 LXI,MARUTI,10.085809109330082,5.0,22.74,796.0
550.0,2019,TATA TIAGO,TATA TIAGO NRG PETROL,TATA,9.210340371976184,5.0,24.0,1199.0
220.0,2017,MARUTI OMNI,MARUTI OMNI E MPI STD BS IV,MARUTI,10.596634733096073,8.0,16.8,796.0
196.0,2011,MARUTI WAGON,MARUTI WAGON R LXI BS IV,MARUTI,11.608235644774552,5.0,18.9,998.0
299.0,2015,TATA BOLT,TATA BOLT REVOTRON XE,TATA,9.711115659888671,5.0,17.57,1193.0
300.0,2017,MARUTI ALTO,MARUTI ALTO K10 VXI,MARUTI,10.308952660644293,5.0,23.95,998.0
300.0,2016,MARUTI ALTO,MARUTI ALTO K10 VXI,MARUTI,10.126631103850338,5.0,23.95,998.0
260.0,2016,RENAULT KWID,RENAULT KWID RXT,RENAULT,11.002099841204238,5.0,25.17,799.0
250.0,2015,MARUTI ALTO,MARUTI ALTO K10 VXI,MARUTI,10.858998997563564,5.0,23.95,998.0
235.0,2015,HYUNDAI EON,HYUNDAI EON ERA PLUS,HYUNDAI,10.819778284410283,5.0,21.1,814.0
360.0,2019,MARUTI ALTO,MARUTI ALTO K10 VXI,MARUTI,10.126631103850338,5.0,23.95,998.0
350.0,2016,MARUTI WAGON,MARUTI WAGON R VXI OPTIONAL,MARUTI,11.289781913656018,5.0,20.51,998.0
270.0,2011,MARUTI WAGON,MARUTI WAGON R VXI BS IV,MARUTI,10.596634733096073,5.0,18.9,998.0
275.0,2012,MARUTI WAGON,MARUTI WAGON R VXI BS IV,MARUTI,9.903487552536127,5.0,18.9,998.0
655.0,2019,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI 1.2,MARUTI,10.126631103850338,5.0,21.21,1197.0
340.0,2018,MAHINDRA KUV,MAHINDRA KUV 100 G80 K2,MAHINDRA,10.849181734779526,6.0,18.15,1198.0
370.0,2016,FORD FIGO,FORD FIGO 1.2P TITANIUM OPT MT,FORD,11.002099841204238,5.0,18.16,1196.0
238.0,2014,HYUNDAI SANTRO,HYUNDAI SANTRO XING GLS,HYUNDAI,11.002099841204238,5.0,17.92,1086.0
200.0,2013,HYUNDAI SANTRO,HYUNDAI SANTRO XING GLS,HYUNDAI,11.407564949312402,5.0,17.92,1086.0
210.0,2010,HYUNDAI I10,HYUNDAI I10 ERA,HYUNDAI,9.903487552536127,5.0,19.81,1086.0
300.0,2016,RENAULT KWID,RENAULT KWID 1.0 RXT OPTIONAL,RENAULT,10.819778284410283,5.0,23.01,999.0
290.0,2015,HYUNDAI EON,HYUNDAI EON ERA PLUS,HYUNDAI,9.740968623038354,5.0,21.1,814.0
395.0,2016,MARUTI CELERIO,MARUTI CELERIO VXI,MARUTI,10.819778284410283,5.0,23.1,998.0
600.0,2019,HYUNDAI ELITE,HYUNDAI ELITE I20 MAGNA PLUS BSIV,HYUNDAI,9.210340371976184,5.0,18.6,1197.0
385.0,2017,DATSUN GO,DATSUN GO ANNIVERSARY EDITION,DATSUN,10.308952660644293,5.0,20.63,1198.0
300.0,2016,MAHINDRA KUV,MAHINDRA KUV 100 MFALCON G80 K2,MAHINDRA,10.596634733096073,6.0,18.15,1198.0
300.0,2014,MARUTI CELERIO,MARUTI CELERIO LXI,MARUTI,10.46310334047155,5.0,23.1,998.0
500.0,2018,HYUNDAI XCENT,HYUNDAI XCENT 1.2 VTVT E PLUS,HYUNDAI,9.210340371976184,5.0,20.14,1197.0
700.0,2019,FORD FREESTYLE,FORD FREESTYLE TITANIUM PLUS PETROL BSIV,FORD,8.699514748210191,5.0,19.0,1194.0
300.0,2017,RENAULT KWID,RENAULT KWID 1.0 RXT OPTIONAL,RENAULT,10.46310334047155,5.0,23.01,999.0
450.0,2015,MARUTI SWIFT,MARUTI SWIFT VXI OPTIONAL,MARUTI,10.308952660644293,5.0,20.4,1197.0
450.0,2018,HYUNDAI GRAND,HYUNDAI GRAND I10 1.2 KAPPA MAGNA BSIV,HYUNDAI,10.308952660644293,5.0,18.9,1197.0
390.0,2020,MARUTI ALTO,MARUTI ALTO K10 VXI,MARUTI,8.699514748210191,5.0,23.95,998.0
565.0,2017,FORD FIGO,FORD FIGO ASPIRE 1.2 TI-VCT TITANIUM,FORD,11.289781913656018,5.0,18.16,1196.0
600.0,2019,HYUNDAI GRAND,HYUNDAI GRAND I10 1.2 KAPPA SPORTZ BSIV,HYUNDAI,9.903487552536127,5.0,18.9,1197.0
490.0,2017,HONDA AMAZE,HONDA AMAZE I-VTEC PRIVILEGE EDITION,HONDA,11.289781913656018,5.0,17.8,1198.0
298.0,2016,MARUTI ALTO,MARUTI ALTO K10 VXI,MARUTI,11.156250521031495,5.0,23.95,998.0
500.0,2017,HYUNDAI GRAND,HYUNDAI GRAND I10 SPORTZ,HYUNDAI,9.903487552536127,5.0,18.9,1197.0
681.0,2019,FORD FREESTYLE,FORD FREESTYLE TREND PETROL BSIV,FORD,9.210340371976184,5.0,19.0,1194.0
230.0,2017,DATSUN REDIGO,DATSUN REDIGO SPORT,DATSUN,11.289781913656018,5.0,22.7,799.0
500.0,2014,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI,MARUTI,10.714417768752456,5.0,19.1,1197.0
720.0,2019,FORD FREESTYLE,FORD FREESTYLE TITANIUM PETROL BSIV,FORD,9.210340371976184,5.0,19.0,1194.0
100.0,2012,MARUTI 800,MARUTI 800 AC,MARUTI,10.839580911706463,4.0,16.1,796.0
300.0,2015,DATSUN GO,DATSUN GO PLUS D1,DATSUN,9.615805480084347,7.0,20.62,1198.0
400.0,2018,RENAULT KWID,RENAULT KWID 1.0 RXT OPTIONAL,RENAULT,11.002099841204238,5.0,23.01,999.0
430.0,2015,MARUTI WAGON,MARUTI WAGON R VXI BS IV,MARUTI,8.517193191416238,5.0,20.51,998.0
573.0,2017,MARUTI SWIFT,MARUTI SWIFT VXI OPTIONAL,MARUTI,10.308952660644293,5.0,20.4,1197.0
210.0,2015,HYUNDAI EON,HYUNDAI EON D LITE PLUS,HYUNDAI,10.596634733096073,5.0,21.1,814.0
550.0,2019,TATA TIGOR,TATA TIGOR 1.2 REVOTRON XT,TATA,9.615805480084347,5.0,20.3,1199.0
500.0,2013,MARUTI ERTIGA,MARUTI ERTIGA ZXI,MARUTI,11.002099841204238,7.0,16.02,1373.0
500.0,2013,MARUTI ERTIGA,MARUTI ERTIGA ZXI,MARUTI,11.002099841204238,7.0,16.02,1373.0
630.0,2015,HYUNDAI I20,HYUNDAI I20 ASTA 1.2,HYUNDAI,10.46310334047155,5.0,18.6,1197.0
95.0,2008,MARUTI ALTO,MARUTI ALTO STD,MARUTI,11.695247021764184,5.0,19.7,796.0
244.0,2012,HYUNDAI EON,HYUNDAI EON ERA PLUS,HYUNDAI,10.545341438708522,5.0,21.1,814.0
660.0,2016,MARUTI BALENO,MARUTI BALENO ALPHA 1.2,MARUTI,11.002099841204238,5.0,21.4,1197.0
270.0,2010,HYUNDAI I20,HYUNDAI I20 MAGNA,HYUNDAI,11.002099841204238,5.0,18.5,1197.0
525.0,2017,MARUTI SWIFT,MARUTI SWIFT DZIRE VXI,MARUTI,11.156250521031495,5.0,20.85,1197.0
241.0,2015,MARUTI ALTO,MARUTI ALTO 800 LXI,MARUTI,9.615805480084347,5.0,22.74,796.0
235.0,2015,MARUTI ALTO,MARUTI ALTO 800 LXI,MARUTI,9.903487552536127,5.0,22.74,796.0
350.0,2014,MARUTI WAGON,MARUTI WAGON R STINGRAY VXI,MARUTI,10.46310334047155,5.0,20.51,998.0
380.0,2014,MARUTI WAGON,MARUTI WAGON R STINGRAY VXI,MARUTI,10.46310334047155,5.0,20.51,998.0
220.0,2010,MARUTI ZEN,MARUTI ZEN ESTILO LXI BS IV,MARUTI,10.596634733096073,5.0,19.0,998.0
360.0,2015,HYUNDAI I10,HYUNDAI I10 SPORTZ 1.1L,HYUNDAI,9.903487552536127,5.0,19.81,1086.0
550.0,2019,HYUNDAI GRAND,HYUNDAI GRAND I10 1.2 KAPPA SPORTZ BSIV,HYUNDAI,9.615805480084347,5.0,18.9,1197.0
327.0,2016,MAHINDRA KUV,MAHINDRA KUV 100 MFALCON G80 K2,MAHINDRA,9.903487552536127,6.0,18.15,1198.0
425.0,2016,HYUNDAI I10,HYUNDAI I10 SPORTZ 1.1L,HYUNDAI,9.615805480084347,5.0,19.81,1086.0
120.0,2009,MARUTI ALTO,MARUTI ALTO LX,MARUTI,10.968198289528557,5.0,19.7,796.0
150.0,2011,TATA INDIGO,TATA INDIGO GLX,TATA,11.918390573078392,5.0,12.8,1396.0
300.0,2017,RENAULT KWID,RENAULT KWID 1.0 RXT OPTIONAL,RENAULT,10.46310334047155,5.0,23.01,999.0
230.0,2013,CHEVROLET SAIL,CHEVROLET SAIL HATCHBACK PETROL,CHEVROLET,10.736396675471232,5.0,18.2,1199.0
220.0,2018,MARUTI OMNI,MARUTI OMNI E MPI STD BS IV,MARUTI,9.210340371976184,8.0,16.8,796.0
576.0,2016,HYUNDAI I20,HYUNDAI I20 ASTA OPTION 1.2,HYUNDAI,10.46310334047155,5.0,18.6,1197.0
265.0,2016,RENAULT KWID,RENAULT KWID RXT,RENAULT,10.819778284410283,5.0,25.17,799.0
290.0,2017,RENAULT KWID,RENAULT KWID RXT,RENAULT,10.239959789157341,5.0,25.17,799.0
160.0,2011,HYUNDAI EON,HYUNDAI EON ERA,HYUNDAI,10.950806546816688,5.0,21.1,814.0
400.0,2013,HYUNDAI I20,HYUNDAI I20 SPORTZ 1.2,HYUNDAI,11.156250521031495,5.0,18.5,1197.0
500.0,2016,HYUNDAI I20,HYUNDAI I20 2015-2017 SPORTZ 1.2,HYUNDAI,10.596634733096073,5.0,18.6,1197.0
350.0,2015,MARUTI CELERIO,MARUTI CELERIO VXI,MARUTI,10.126631103850338,5.0,23.1,998.0
580.0,2019,RENAULT TRIBER,RENAULT TRIBER RXT BSIV,RENAULT,9.392661928770137,7.0,20.0,999.0
261.0,2016,RENAULT KWID,RENAULT KWID RXT,RENAULT,11.407564949312402,5.0,25.17,799.0
371.0,2015,CHEVROLET SAIL,CHEVROLET SAIL 1.2 LS ABS,CHEVROLET,10.596634733096073,5.0,18.2,1199.0
750.0,2019,HYUNDAI ELITE,HYUNDAI ELITE I20 PETROL ASTA OPTION,HYUNDAI,10.308952660644293,5.0,18.6,1197.0
315.0,2011,HYUNDAI I20,HYUNDAI I20 1.2 SPORTZ,HYUNDAI,11.289781913656018,5.0,17.0,1197.0
580.0,2018,HYUNDAI GRAND,HYUNDAI GRAND I10 1.2 KAPPA SPORTZ BSIV,HYUNDAI,10.373491181781864,5.0,18.9,1197.0
340.0,2013,HYUNDAI I20,HYUNDAI I20 SPORTZ 1.2,HYUNDAI,11.156250521031495,5.0,18.5,1197.0
270.0,2015,HYUNDAI EON,HYUNDAI EON MAGNA PLUS,HYUNDAI,10.668955394675699,5.0,21.1,814.0
260.0,2014,HYUNDAI EON,HYUNDAI EON ERA PLUS,HYUNDAI,9.8492953234527,5.0,21.1,814.0
300.0,2017,DATSUN GO,DATSUN GO PLUS ANNIVERSARY EDITION,DATSUN,11.002099841204238,7.0,20.62,1198.0
370.0,2020,MARUTI ALTO,MARUTI ALTO 800 VXI PLUS,MARUTI,9.615805480084347,5.0,22.05,796.0
340.0,2018,RENAULT KWID,RENAULT KWID RXT OPTIONAL,RENAULT,9.210340371976184,5.0,25.17,799.0
1040.0,2019,MARUTI XL6,MARUTI XL6 ALPHA,MARUTI,7.3901814282264295,6.0,19.01,1462.0
450.0,2019,HYUNDAI SANTRO,HYUNDAI SANTRO MAGNA BSIV,HYUNDAI,9.210340371976184,5.0,20.3,1086.0
90.0,2007,MARUTI 800,MARUTI 800 AC,MARUTI,11.407564949312402,4.0,16.1,796.0
